route,obs_count,price_var_baseline,price_mean,price_min,price_max,price_var_cap_1_20,var_reduction_pct
Back Bay → North End,1913,4.22,17.36,10.19,53.12,3.47,17.77
Northeastern University → Financial District,1889,4.09,17.24,10.04,53.57,3.3,19.32
North End → Back Bay,1843,4.1,17.21,9.92,52.16,3.46,15.61
Fenway → Financial District,1828,4.17,17.39,10.01,41.71,3.5,16.07
Beacon Hill → Northeastern University,1796,3.91,17.27,10.02,47.69,3.35,14.32
Back Bay → South Station,1780,3.97,17.13,11.19,46.36,3.41,14.11
Beacon Hill → North End,1756,4.08,17.31,10.65,41.56,3.42,16.18
South Station → West End,1746,3.94,17.21,10.02,53.46,3.36,14.72
South Station → Beacon Hill,1743,4.06,17.27,10.07,48.54,3.39,16.5
North End → Beacon Hill,1717,3.64,17.13,10.71,35.54,3.4,6.59
Theatre District → Boston University,1714,4.22,17.39,10.17,46.36,3.55,15.88
Haymarket Square → Back Bay,1696,4.03,17.3,11.6,41.5,3.47,13.9
South Station → Back Bay,1682,4.16,17.36,10.12,51.61,3.34,19.71
West End → Northeastern University,1667,4.26,17.36,10.15,45.34,3.44,19.25
Northeastern University → West End,1646,4.1,17.33,10.04,41.77,3.47,15.37
Fenway → West End,1639,4.5,17.53,10.55,52.41,3.58,20.44
Financial District → Northeastern University,1637,4.14,17.37,10.24,51.51,3.36,18.84
Financial District → Boston University,1633,4.05,17.32,10.69,47.52,3.47,14.32
North Station → Northeastern University,1632,3.95,17.14,10.55,41.94,3.35,15.19
Northeastern University → Back Bay,1629,3.92,17.24,10.15,40.82,3.43,12.5
South Station → Theatre District,1605,4.12,17.32,10.91,45.84,3.38,17.96
Theatre District → Northeastern University,1600,3.99,17.36,10.0,45.62,3.42,14.29
Northeastern University → Theatre District,1595,4.25,17.33,11.22,49.2,3.5,17.65
Northeastern University → North Station,1563,4.25,17.3,10.72,54.04,3.52,17.18
Boston University → Theatre District,1560,4.22,17.45,10.25,45.29,3.51,16.82
South Station → North Station,1553,3.97,17.16,10.05,53.22,3.34,15.87
Back Bay → Boston University,1534,3.9,17.11,10.69,42.09,3.37,13.59
Boston University → West End,1533,3.82,17.28,10.23,47.45,3.4,10.99
Fenway → Beacon Hill,1529,4.27,17.52,10.04,41.1,3.59,15.93
Back Bay → Haymarket Square,1512,4.23,17.44,11.57,46.27,3.51,17.02
Theatre District → Fenway,1504,4.28,17.28,10.09,50.23,3.38,21.03
Haymarket Square → Beacon Hill,1498,4.11,17.36,10.85,45.58,3.48,15.33
North Station → Boston University,1475,4.15,17.39,10.03,48.45,3.52,15.18
Fenway → North Station,1467,3.75,17.12,11.2,44.59,3.22,14.13
Boston University → Financial District,1467,4.36,17.45,10.0,53.52,3.32,23.85
Financial District → Fenway,1467,3.9,17.15,11.59,42.15,3.3,15.38
North Station → South Station,1454,4.09,17.32,10.07,46.35,3.45,15.65
Beacon Hill → South Station,1450,4.21,17.41,11.64,47.65,3.51,16.63
North Station → North End,1444,4.06,17.2,10.2,52.97,3.41,16.01
North End → West End,1441,3.96,17.28,11.57,50.24,3.28,17.17
Haymarket Square → Financial District,1440,4.41,17.44,11.64,49.11,3.52,20.18
Northeastern University → Beacon Hill,1440,3.98,17.18,10.02,54.61,3.23,18.84
West End → North End,1437,4.38,17.33,11.67,50.24,3.41,22.15
South Station → Financial District,1427,4.16,17.28,11.64,50.81,3.43,17.55
West End → South Station,1424,3.73,17.26,11.6,41.63,3.37,9.65
Beacon Hill → Haymarket Square,1417,4.18,17.44,11.61,41.91,3.55,15.07
Fenway → Theatre District,1417,3.9,17.32,11.69,45.05,3.4,12.82
Boston University → North Station,1415,4.29,17.48,10.65,46.93,3.57,16.78
North Station → Fenway,1412,4.04,17.28,10.72,52.47,3.38,16.34
Haymarket Square → Theatre District,1404,3.99,17.3,11.2,45.58,3.41,14.54
Boston University → Back Bay,1398,3.9,17.16,11.61,45.72,3.45,11.54
West End → Fenway,1397,4.1,17.24,10.02,52.06,3.44,16.1
North End → Financial District,1396,4.36,17.39,10.7,59.76,3.51,19.5
Financial District → North End,1386,4.12,17.27,10.02,58.06,3.43,16.75
Beacon Hill → Fenway,1372,3.94,17.2,10.66,43.87,3.42,13.2
Financial District → Haymarket Square,1370,3.6,16.95,11.67,45.14,3.17,11.94
Theatre District → North End,1348,4.15,17.34,10.61,50.69,3.37,18.8
Back Bay → Northeastern University,1348,4.12,17.29,10.03,46.55,3.35,18.69
Theatre District → Haymarket Square,1329,4.06,17.44,11.72,46.74,3.45,15.02
Fenway → Back Bay,1326,3.89,17.18,11.6,40.09,3.49,10.28
North Station → Haymarket Square,1307,4.36,17.41,10.22,53.02,3.56,18.35
North End → North Station,1304,4.32,17.14,10.01,59.76,3.44,20.37
West End → Boston University,1304,3.99,17.14,10.02,45.86,3.27,18.05
Beacon Hill → Boston University,1296,4.12,17.14,11.64,42.59,3.32,19.42
North End → Theatre District,1279,3.92,17.23,10.23,41.43,3.55,9.44
Theatre District → South Station,1266,3.98,17.13,10.16,52.64,3.3,17.09
Haymarket Square → West End,1236,4.06,17.33,10.89,42.18,3.4,16.26
Boston University → Beacon Hill,1232,4.13,17.24,11.6,46.74,3.43,16.95
Back Bay → Fenway,1229,3.83,17.14,11.61,41.61,3.37,12.01
West End → Haymarket Square,1210,3.96,17.28,11.68,60.86,3.49,11.87
Haymarket Square → North Station,1192,3.89,17.32,11.64,42.45,3.22,17.22
Financial District → South Station,1174,4.12,17.41,10.2,46.4,3.36,18.45
