Variable,Coefficient,Std_Error,T_Statistic,P_Value,CI_Lower,CI_Upper,Abs_Coef
const,-11.139153728227326,0.16454647762367525,-67.696093463046,0.0,-11.461659803780266,-10.816647652674385,11.139153728227326
distance,2.9578509927672765,0.015183810642961334,194.80294257610683,0.0,2.928091187190643,2.9876107983439097,2.9578509927672765
surge_multiplier,22.121697380485276,0.1315090724460416,168.21423015938194,0.0,21.863943611053763,22.37945114991679,22.121697380485276
temperature,0.0018219166230937823,0.0020993414165303113,0.8678515122637636,0.38547610909747604,-0.0022927284988722126,0.005936561745059777,0.0018219166230937823
cab_type_Uber,0.06651699563605724,0.026875684005765267,2.474988008557783,0.013324446552936737,0.013841475007026253,0.11919251626508823,0.06651699563605724
hour_1,-0.058825444121010984,0.08979814168193694,-0.6550853171257087,0.5124131745429321,-0.2348270619254479,0.11717617368342592,0.058825444121010984
hour_2,-0.041427668900602746,0.08972467150070382,-0.46171992839536646,0.6442824111532309,-0.21728528739152142,0.1344299495903159,0.041427668900602746
hour_3,-0.05997882918464986,0.09031815942369403,-0.6640838295129721,0.506637014352068,-0.23699966589631577,0.11704200752701605,0.05997882918464986
hour_4,0.08255526335158306,0.08976540936498513,0.9196779019400926,0.35774161846343233,-0.09338220011034629,0.25849272681351243,0.08255526335158306
hour_5,0.02815052244903809,0.0926938758094025,0.3036934447203535,0.7613615992210283,-0.1535266458915184,0.2098276907895946,0.02815052244903809
hour_6,0.016530709370665635,0.09048859582518523,0.18268279245487778,0.8550470040926688,-0.1608241774876221,0.19388559622895338,0.016530709370665635
hour_7,0.005998065473760614,0.09325179799424237,0.06432117774427204,0.9487145207958253,-0.17677261332593888,0.1887687442734601,0.005998065473760614
hour_8,0.05324446991235249,0.09359276636695531,0.5688951398614867,0.5694276002414214,-0.1301944964943465,0.23668343631905148,0.05324446991235249
hour_9,-0.0660205324198725,0.08938533212010724,-0.7386058859317163,0.4601467512527427,-0.24121305607863647,0.10917199123889144,0.0660205324198725
hour_10,-0.07770606204329844,0.08862202239543673,-0.8768256460743964,0.3805818356454419,-0.2514025219315702,0.09599039784497335,0.07770606204329844
hour_11,-0.00888079080849668,0.08855453077241124,-0.10028612574686524,0.9201172186526803,-0.18244496917492128,0.1646833875579279,0.00888079080849668
hour_12,-0.031407583040984934,0.08835158598986155,-0.3554840888152137,0.7222271368024529,-0.2045739958257984,0.14175882974382856,0.031407583040984934
